experiment,requests,concurrency,successful,failed,throughput_rps,dropout_percent,p50_ms,p95_ms,p99_ms,elapsed_seconds
chat-1-backend,600,30,600,0,8.73,0.00,3405.94,4570.30,5035.76,68.732
http-1-backend,5000,40,5000,0,725.78,0.00,47.30,112.75,177.63,6.889
chat-3-backends,600,30,600,0,23.17,0.00,1005.48,2488.13,2951.90,25.893
http-3-backends,5000,40,5000,0,643.06,0.00,65.00,164.85,290.24,7.775
