epoch,second,cpu_fraction,cpu_cores_used,memory_bytes,memory_fraction
1789318907.726,1,0.4663,0.4663,110108672,0.2051
1789318908.759,2,0.9217,0.9217,115834880,0.2158
1789318909.793,3,0.6126,0.6126,116252672,0.2165
1789318910.861,4,0.7696,0.7696,122548224,0.2283
1789318911.913,5,0.7328,0.7328,122404864,0.2280
1789318912.949,6,0.5181,0.5181,123797504,0.2306
1789318913.985,7,0.7403,0.7403,124137472,0.2312
1789318915.070,8,0.9644,0.9644,125632512,0.2340
1789318916.110,9,0.3843,0.3843,125751296,0.2342
1789318917.141,10,0.8447,0.8447,125718528,0.2342
1789318918.175,11,0.4105,0.4105,125841408,0.2344
1789318919.213,12,0.7583,0.7583,125444096,0.2337
1789318920.246,13,0.5047,0.5047,126083072,0.2348
1789318921.270,14,0.8305,0.8305,126726144,0.2360
1789318922.304,15,0.7631,0.7631,127229952,0.2370
1789318923.366,16,0.7514,0.7514,128233472,0.2389
1789318924.394,17,0.9441,0.9441,127721472,0.2379
1789318925.461,18,0.7836,0.7836,127123456,0.2368
1789318926.498,19,0.6270,0.6270,127414272,0.2373
1789318927.534,20,0.9110,0.9110,129531904,0.2413
1789318928.581,21,0.2040,0.2040,73310208,0.1366
1789318929.625,22,0.0245,0.0245,72626176,0.1353
1789318930.653,23,0.0275,0.0275,72495104,0.1350
1789318931.685,24,0.0344,0.0344,72675328,0.1354
1789318932.729,25,0.0313,0.0313,72441856,0.1349
1789318933.765,26,0.0302,0.0302,72445952,0.1349
1789318934.804,27,0.0209,0.0209,72617984,0.1353
1789318935.849,28,0.0384,0.0384,72601600,0.1352
1789318936.885,29,0.0265,0.0265,72359936,0.1348
1789318937.923,30,0.0247,0.0247,72630272,0.1353
1789318938.956,31,0.0313,0.0313,72409088,0.1349
1789318940.001,32,0.0269,0.0269,72306688,0.1347
1789318941.027,33,0.0315,0.0315,72617984,0.1353
1789318942.054,34,0.0217,0.0217,72814592,0.1356
1789318943.084,35,0.0235,0.0235,72683520,0.1354
1789318944.117,36,0.0306,0.0306,72892416,0.1358
1789318945.150,37,0.0219,0.0219,72663040,0.1353
1789318946.182,38,0.0240,0.0240,72933376,0.1358
1789318947.221,39,0.0325,0.0325,73261056,0.1365
1789318948.261,40,0.0477,0.0477,72646656,0.1353
1789318949.301,41,0.9122,0.9122,102985728,0.1918
1789318950.340,42,0.7919,0.7919,129871872,0.2419
1789318951.389,43,0.6657,0.6657,143622144,0.2675
1789318952.480,44,0.9643,0.9643,151826432,0.2828
1789318953.516,45,0.9945,0.9945,154222592,0.2873
1789318954.577,46,0.4477,0.4477,145522688,0.2711
1789318955.605,47,0.9231,0.9231,147623936,0.2750
1789318956.641,48,0.5717,0.5717,148426752,0.2765
1789318957.669,49,0.9023,0.9023,149651456,0.2787
1789318958.705,50,0.4445,0.4445,149753856,0.2789
1789318959.785,51,0.6743,0.6743,150671360,0.2806
1789318960.828,52,0.6969,0.6969,150306816,0.2800
1789318961.856,53,0.7260,0.7260,150368256,0.2801
1789318962.888,54,0.8444,0.8444,151674880,0.2825
1789318963.977,55,0.6270,0.6270,151306240,0.2818
1789318965.010,56,0.7731,0.7731,150925312,0.2811
1789318966.048,57,0.6183,0.6183,150466560,0.2803
1789318967.078,58,0.6684,0.6684,151760896,0.2827
1789318968.117,59,0.3093,0.3093,167874560,0.3127
1789318969.147,60,0.0593,0.0593,167911424,0.3128
1789318970.181,61,0.0559,0.0559,167575552,0.3121
1789318971.214,62,0.0571,0.0571,167493632,0.3120
1789318972.250,63,0.0591,0.0591,167981056,0.3129
1789318973.282,64,0.0694,0.0694,167665664,0.3123
1789318974.329,65,0.0478,0.0478,167813120,0.3126
1789318975.364,66,0.0907,0.0907,168128512,0.3132
1789318976.412,67,0.0507,0.0507,167841792,0.3126
1789318977.435,68,0.0471,0.0471,168132608,0.3132
1789318978.466,69,0.0528,0.0528,168144896,0.3132
1789318979.513,70,0.0568,0.0568,168378368,0.3136
1789318980.548,71,0.0586,0.0586,168357888,0.3136
1789318981.612,72,0.0844,0.0844,168112128,0.3131
1789318982.650,73,0.0632,0.0632,167882752,0.3127
1789318983.681,74,0.0515,0.0515,167788544,0.3125
1789318984.725,75,0.0634,0.0634,167788544,0.3125
1789318985.761,76,0.0677,0.0677,167997440,0.3129
1789318986.805,77,0.0490,0.0490,168054784,0.3130
1789318987.828,78,0.0492,0.0492,167960576,0.3129
1789318988.864,79,0.0516,0.0516,167854080,0.3127
1789318989.901,80,0.0895,0.0895,167911424,0.3128
