epoch,second,cpu_fraction,cpu_cores_used,memory_bytes,memory_fraction
1789318702.214,1,0.6525,0.6525,456425472,0.8502
1789318703.255,2,0.9475,0.9475,460324864,0.8574
1789318704.343,3,0.6319,0.6319,461017088,0.8587
1789318705.383,4,0.9895,0.9895,464715776,0.8656
1789318706.413,5,0.7770,0.7770,468934656,0.8735
1789318707.529,6,0.8059,0.8059,468996096,0.8736
1789318708.641,7,0.8069,0.8069,470167552,0.8758
1789318709.747,8,0.7395,0.7395,469884928,0.8752
1789318710.783,9,1.0040,1.0040,474832896,0.8844
1789318711.820,10,0.6349,0.6349,472535040,0.8802
1789318712.909,11,1.0396,1.0396,479498240,0.8931
1789318713.943,12,0.5852,0.5852,474382336,0.8836
1789318714.980,13,0.4919,0.4919,474177536,0.8832
1789318716.023,14,0.4685,0.4685,475443200,0.8856
1789318717.071,15,0.4799,0.4799,478638080,0.8915
1789318718.095,16,0.5441,0.5441,481341440,0.8966
1789318719.123,17,0.5729,0.5729,484925440,0.9032
1789318720.148,18,0.6344,0.6344,485756928,0.9048
1789318721.183,19,0.7460,0.7460,484327424,0.9021
1789318722.230,20,0.9068,0.9068,486531072,0.9062
1789318723.268,21,0.8162,0.8162,486379520,0.9060
1789318724.296,22,0.6550,0.6550,492072960,0.9166
1789318725.332,23,0.9189,0.9189,491253760,0.9150
1789318726.423,24,0.5071,0.5071,486977536,0.9071
1789318727.454,25,0.6545,0.6545,486768640,0.9067
1789318728.494,26,0.7369,0.7369,487989248,0.9090
1789318729.530,27,0.9164,0.9164,489934848,0.9126
1789318730.554,28,0.7787,0.7787,493985792,0.9201
1789318731.638,29,0.7879,0.7879,497733632,0.9271
1789318732.715,30,0.5687,0.5687,497680384,0.9270
1789318733.739,31,0.6364,0.6364,496439296,0.9247
1789318734.771,32,0.8101,0.8101,497037312,0.9258
1789318735.807,33,0.7308,0.7308,491085824,0.9147
1789318736.838,34,0.6222,0.6222,490455040,0.9135
1789318737.874,35,0.6136,0.6136,493305856,0.9189
1789318738.917,36,0.7523,0.7523,495366144,0.9227
1789318739.939,37,0.6252,0.6252,493944832,0.9200
1789318740.966,38,0.6789,0.6789,499056640,0.9296
1789318741.994,39,0.3867,0.3867,498880512,0.9292
1789318743.026,40,0.1339,0.1339,495030272,0.9221
1789318744.064,41,0.0889,0.0889,491368448,0.9152
1789318745.094,42,0.1056,0.1056,491130880,0.9148
1789318746.135,43,0.1263,0.1263,491282432,0.9151
1789318747.171,44,0.1331,0.1331,490893312,0.9144
1789318748.215,45,0.1321,0.1321,491487232,0.9155
1789318749.243,46,0.0934,0.0934,491184128,0.9149
1789318750.276,47,0.0761,0.0761,490688512,0.9140
1789318751.318,48,0.0933,0.0933,490221568,0.9131
1789318752.358,49,0.0787,0.0787,490340352,0.9133
1789318753.390,50,0.1327,0.1327,490774528,0.9141
1789318754.423,51,0.1043,0.1043,491175936,0.9149
1789318755.453,52,0.0864,0.0864,491560960,0.9156
1789318756.482,53,0.1258,0.1258,491921408,0.9163
1789318757.515,54,0.1249,0.1249,491487232,0.9155
1789318758.542,55,0.1265,0.1265,492666880,0.9177
1789318759.579,56,0.0995,0.0995,492544000,0.9174
1789318760.608,57,0.0700,0.0700,491958272,0.9163
1789318761.635,58,0.1006,0.1006,492556288,0.9175
1789318762.663,59,0.0763,0.0763,492404736,0.9172
1789318763.695,60,0.1231,0.1231,491872256,0.9162
