config,label,policy,threshold,runs,throughput_rps,p50_ms,p95_ms,p99_ms,errors,chat_1,chat_2,chat_3
roundrobin,round robin,roundrobin,,2,565.2,90.8,1111.8,1349.1,0,4049,4048,4048
leastload,"least load, no threshold",least-load,,2,1020.1,119.5,320.3,763.4,0,8622,10687,2892
t030,threshold 0.30,performance,0.3,2,1068.0,113.4,287.5,433.6,0,10579,10065,2381
t040,threshold 0.40,performance,0.4,2,1012.8,120.3,371.5,537.4,0,7297,9980,4399
t050,threshold 0.50,performance,0.5,2,727.3,139.3,623.6,762.9,0,6244,6115,3268
t060,threshold 0.60,performance,0.6,2,483.1,231.7,757.0,892.8,0,3860,3808,2727
t070,threshold 0.70,performance,0.7,2,418.7,325.8,808.4,1068.4,0,2966,3239,2799
t080,threshold 0.80,performance,0.8,2,363.2,344.8,878.5,995.2,0,2770,2805,2214
t090,threshold 0.90,performance,0.9,2,328.6,442.0,910.7,1049.7,0,2309,2512,2331
