epoch,second,cpu_fraction,cpu_cores_used,memory_bytes,memory_fraction
1789318907.723,1,0.7405,0.7405,477511680,0.8894
1789318908.759,2,0.9319,0.9319,482050048,0.8979
1789318909.812,3,0.8329,0.8329,485675008,0.9046
1789318910.921,4,0.9379,0.9379,485273600,0.9039
1789318911.970,5,0.7768,0.7768,489385984,0.9116
1789318913.016,6,0.9569,0.9569,492249088,0.9169
1789318914.224,7,0.7688,0.7688,492965888,0.9182
1789318915.254,8,0.8181,0.8181,495013888,0.9220
1789318916.316,9,1.0188,1.0188,500686848,0.9326
1789318917.349,10,0.7994,0.7994,502112256,0.9353
1789318918.398,11,0.7245,0.7245,502591488,0.9361
1789318919.428,12,0.9364,0.9364,504852480,0.9404
1789318920.469,13,0.9651,0.9651,505593856,0.9417
1789318921.513,14,0.9596,0.9596,506544128,0.9435
1789318922.549,15,0.9068,0.9068,509607936,0.9492
1789318923.635,16,0.8796,0.8796,511377408,0.9525
1789318924.669,17,0.9481,0.9481,511426560,0.9526
1789318925.722,18,0.7000,0.7000,513191936,0.9559
1789318926.809,19,0.9848,0.9848,514490368,0.9583
1789318927.846,20,0.5823,0.5823,514080768,0.9576
1789318928.916,21,1.0369,1.0369,515428352,0.9601
1789318929.942,22,0.7379,0.7379,516112384,0.9613
1789318930.975,23,0.7731,0.7731,517029888,0.9630
1789318932.001,24,0.8406,0.8406,519155712,0.9670
1789318933.111,25,0.9807,0.9807,520650752,0.9698
1789318934.133,26,0.5630,0.5630,519839744,0.9683
1789318935.223,27,0.9731,0.9731,522031104,0.9724
1789318936.334,28,0.8321,0.8321,524201984,0.9764
1789318937.365,29,0.8786,0.8786,526798848,0.9812
1789318938.393,30,0.7523,0.7523,527310848,0.9822
1789318939.421,31,0.8516,0.8516,527491072,0.9825
1789318940.461,32,0.5335,0.5335,531025920,0.9891
1789318941.513,33,1.0395,1.0395,532504576,0.9919
1789318942.614,34,0.6386,0.6386,531861504,0.9907
1789318943.716,35,1.0216,1.0216,536842240,0.9999
1789318944.909,36,0.9499,0.9499,536678400,0.9996
1789318946.007,37,1.0195,1.0195,536793088,0.9999
1789318947.053,38,0.6696,0.6696,536731648,0.9997
1789318948.119,39,1.0258,1.0258,536666112,0.9996
1789318949.146,40,0.9671,0.9671,530464768,0.9881
1789318950.213,41,0.8260,0.8260,534036480,0.9947
1789318951.244,42,0.9806,0.9806,536801280,0.9999
1789318952.333,43,0.6905,0.6905,536842240,0.9999
1789318953.416,44,0.9097,0.9097,536801280,0.9999
1789318954.457,45,0.8129,0.8129,536559616,0.9994
1789318955.516,46,0.7691,0.7691,536674304,0.9996
1789318956.625,47,0.8142,0.8142,536850432,1.0000
1789318957.661,48,0.8955,0.8955,536854528,1.0000
1789318958.712,49,1.0309,1.0309,536678400,0.9996
1789318959.757,50,0.8223,0.8223,536821760,0.9999
1789318960.814,51,0.7757,0.7757,536485888,0.9993
1789318961.929,52,0.8885,0.8885,536748032,0.9998
1789318963.008,53,0.9235,0.9235,536760320,0.9998
1789318964.042,54,0.8840,0.8840,536264704,0.9989
1789318965.073,55,0.7575,0.7575,536813568,0.9999
1789318966.124,56,1.0535,1.0535,536580096,0.9995
1789318967.229,57,0.9710,0.9710,535724032,0.9979
1789318968.284,58,0.0970,0.0970,536403968,0.9991
1789318969.313,59,0.0908,0.0908,535699456,0.9978
1789318970.341,60,0.1280,0.1280,535834624,0.9981
1789318971.381,61,0.1049,0.1049,535916544,0.9982
1789318972.413,62,0.1004,0.1004,535887872,0.9982
1789318973.450,63,0.0890,0.0890,536035328,0.9984
1789318974.485,64,0.1406,0.1406,536797184,0.9999
1789318975.529,65,0.1105,0.1105,535658496,0.9977
1789318976.589,66,0.1449,0.1449,535875584,0.9981
1789318977.638,67,0.1364,0.1364,535519232,0.9975
1789318978.677,68,0.1290,0.1290,535511040,0.9975
1789318979.709,69,0.1415,0.1415,536678400,0.9996
1789318980.753,70,0.1205,0.1205,536854528,1.0000
1789318981.789,71,0.0850,0.0850,536801280,0.9999
1789318982.828,72,0.0908,0.0908,536670208,0.9996
1789318983.864,73,0.1336,0.1336,535752704,0.9979
1789318984.906,74,0.1172,0.1172,535752704,0.9979
1789318985.953,75,0.0934,0.0934,535523328,0.9975
1789318987.001,76,0.1165,0.1165,535838720,0.9981
1789318988.025,77,0.1146,0.1146,535834624,0.9981
1789318989.066,78,0.0965,0.0965,535973888,0.9983
1789318990.094,79,0.1246,0.1246,536518656,0.9993
