epoch,second,cpu_fraction,cpu_cores_used,memory_bytes,memory_fraction
1789318702.538,1,0.2769,0.2769,43048960,0.0802
1789318703.572,2,0.3844,0.3844,46546944,0.0867
1789318704.614,3,0.3701,0.3701,50122752,0.0934
1789318705.646,4,0.4258,0.4258,53485568,0.0996
1789318706.683,5,0.3904,0.3904,52436992,0.0977
1789318707.714,6,0.4205,0.4205,54714368,0.1019
1789318708.747,7,0.4828,0.4828,57933824,0.1079
1789318709.778,8,0.4181,0.4181,57262080,0.1067
1789318710.803,9,0.4181,0.4181,61333504,0.1142
1789318711.833,10,0.4417,0.4417,63254528,0.1178
1789318712.879,11,0.3964,0.3964,64774144,0.1207
1789318713.918,12,0.3383,0.3383,69050368,0.1286
1789318714.963,13,0.3043,0.3043,70270976,0.1309
1789318715.987,14,0.3262,0.3262,73478144,0.1369
1789318717.018,15,0.2667,0.2667,75837440,0.1413
1789318718.050,16,0.2399,0.2399,74981376,0.1397
1789318719.086,17,0.5617,0.5617,71876608,0.1339
1789318720.123,18,0.3760,0.3760,70131712,0.1306
1789318721.146,19,0.3943,0.3943,69398528,0.1293
1789318722.178,20,0.4775,0.4775,70361088,0.1311
1789318723.214,21,0.5268,0.5268,72413184,0.1349
1789318724.245,22,0.4871,0.4871,73547776,0.1370
1789318725.286,23,0.5659,0.5659,77172736,0.1437
1789318726.327,24,0.5241,0.5241,76521472,0.1425
1789318727.350,25,0.5210,0.5210,77234176,0.1439
1789318728.377,26,0.5196,0.5196,78020608,0.1453
1789318729.394,27,0.4702,0.4702,78946304,0.1470
1789318730.415,28,0.5566,0.5566,79060992,0.1473
1789318731.451,29,0.5405,0.5405,79765504,0.1486
1789318732.479,30,0.3416,0.3416,77426688,0.1442
1789318733.510,31,0.3767,0.3767,76275712,0.1421
1789318734.532,32,0.5201,0.5201,76832768,0.1431
1789318735.559,33,0.4697,0.4697,78368768,0.1460
1789318736.587,34,0.3851,0.3851,79638528,0.1483
1789318737.618,35,0.5474,0.5474,79687680,0.1484
1789318738.654,36,0.4120,0.4120,79441920,0.1480
1789318739.687,37,0.4410,0.4410,81063936,0.1510
1789318740.710,38,0.4698,0.4698,81608704,0.1520
1789318741.735,39,0.7542,0.7542,80068608,0.1491
1789318742.766,40,0.4555,0.4555,76546048,0.1426
1789318743.787,41,0.3791,0.3791,67313664,0.1254
1789318744.811,42,0.0818,0.0818,65413120,0.1218
1789318745.862,43,0.0376,0.0376,65277952,0.1216
1789318746.920,44,0.0864,0.0864,64860160,0.1208
1789318747.958,45,0.0303,0.0303,64909312,0.1209
1789318748.985,46,0.0284,0.0284,64925696,0.1209
1789318750.023,47,0.0338,0.0338,64684032,0.1205
1789318751.059,48,0.0370,0.0370,64888832,0.1209
1789318752.102,49,0.0365,0.0365,64987136,0.1210
1789318753.135,50,0.0370,0.0370,64598016,0.1203
1789318754.174,51,0.0410,0.0410,64860160,0.1208
1789318755.209,52,0.0320,0.0320,65003520,0.1211
1789318756.239,53,0.0323,0.0323,65019904,0.1211
1789318757.271,54,0.0344,0.0344,65171456,0.1214
1789318758.299,55,0.0300,0.0300,64987136,0.1210
1789318759.343,56,0.0461,0.0461,65064960,0.1212
1789318760.374,57,0.0326,0.0326,64409600,0.1200
1789318761.412,58,0.0241,0.0241,64790528,0.1207
1789318762.458,59,0.0357,0.0357,64921600,0.1209
1789318763.494,60,0.0313,0.0313,64962560,0.1210
