epoch,second,cpu_fraction,cpu_cores_used,memory_bytes,memory_fraction
1789318908.033,1,0.3731,0.3731,54636544,0.1018
1789318909.061,2,0.3761,0.3761,55734272,0.1038
1789318910.118,3,0.3182,0.3182,55885824,0.1041
1789318911.149,4,0.3541,0.3541,55857152,0.1040
1789318912.185,5,0.3166,0.3166,61505536,0.1146
1789318913.269,6,0.3530,0.3530,61087744,0.1138
1789318914.303,7,0.3731,0.3731,62451712,0.1163
1789318915.346,8,0.3801,0.3801,62500864,0.1164
1789318916.395,9,0.3540,0.3540,62029824,0.1155
1789318917.425,10,0.3856,0.3856,62361600,0.1162
1789318918.474,11,0.3201,0.3201,63057920,0.1175
1789318919.502,12,0.2532,0.2532,62328832,0.1161
1789318920.525,13,0.3592,0.3592,62955520,0.1173
1789318921.565,14,0.4313,0.4313,62640128,0.1167
1789318922.602,15,0.4429,0.4429,62496768,0.1164
1789318923.639,16,0.4846,0.4846,62423040,0.1163
1789318924.674,17,0.4096,0.4096,62414848,0.1163
1789318925.726,18,0.3772,0.3772,62873600,0.1171
1789318926.785,19,0.4445,0.4445,62783488,0.1169
1789318927.830,20,0.4257,0.4257,61997056,0.1155
1789318928.863,21,0.3305,0.3305,62025728,0.1155
1789318929.901,22,0.3144,0.3144,61267968,0.1141
1789318930.931,23,0.3981,0.3981,61321216,0.1142
1789318931.965,24,0.3212,0.3212,61333504,0.1142
1789318933.002,25,0.4253,0.4253,61419520,0.1144
1789318934.030,26,0.3562,0.3562,59797504,0.1114
1789318935.061,27,0.3853,0.3853,59559936,0.1109
1789318936.089,28,0.3899,0.3899,60182528,0.1121
1789318937.133,29,0.3275,0.3275,59895808,0.1116
1789318938.164,30,0.4477,0.4477,59752448,0.1113
1789318939.189,31,0.3808,0.3808,59351040,0.1105
1789318940.225,32,0.2991,0.2991,59432960,0.1107
1789318941.265,33,0.3476,0.3476,59052032,0.1100
1789318942.305,34,0.3061,0.3061,59441152,0.1107
1789318943.345,35,0.3826,0.3826,59625472,0.1111
1789318944.377,36,0.2641,0.2641,59482112,0.1108
1789318945.409,37,0.2644,0.2644,59518976,0.1109
1789318946.449,38,0.3961,0.3961,59629568,0.1111
1789318947.485,39,0.2973,0.2973,59809792,0.1114
1789318948.505,40,0.3929,0.3929,59625472,0.1111
1789318949.541,41,0.3862,0.3862,60035072,0.1118
1789318950.597,42,0.3192,0.3192,59445248,0.1107
1789318951.629,43,0.3208,0.3208,59748352,0.1113
1789318952.661,44,0.3011,0.3011,59961344,0.1117
1789318953.689,45,0.3445,0.3445,59908096,0.1116
1789318954.721,46,0.3223,0.3223,60051456,0.1119
1789318955.765,47,0.2755,0.2755,61009920,0.1136
1789318956.801,48,0.4239,0.4239,60645376,0.1130
1789318957.842,49,0.3943,0.3943,62959616,0.1173
1789318958.865,50,0.3640,0.3640,63627264,0.1185
1789318959.894,51,0.3832,0.3832,63594496,0.1185
1789318960.929,52,0.3274,0.3274,63397888,0.1181
1789318961.973,53,0.4983,0.4983,63279104,0.1179
1789318963.018,54,0.5280,0.5280,63238144,0.1178
1789318964.048,55,0.3176,0.3176,63438848,0.1182
1789318965.084,56,0.4106,0.4106,64581632,0.1203
1789318966.113,57,0.4143,0.4143,64667648,0.1205
1789318967.142,58,0.4157,0.4157,63668224,0.1186
1789318968.169,59,0.1191,0.1191,63602688,0.1185
1789318969.201,60,0.0279,0.0279,63201280,0.1177
1789318970.243,61,0.0369,0.0369,63107072,0.1175
1789318971.278,62,0.0315,0.0315,63516672,0.1183
1789318972.305,63,0.0282,0.0282,63352832,0.1180
1789318973.345,64,0.0301,0.0301,63451136,0.1182
1789318974.385,65,0.0303,0.0303,63492096,0.1183
1789318975.423,66,0.0253,0.0253,63496192,0.1183
1789318976.449,67,0.0248,0.0248,63524864,0.1183
1789318977.493,68,0.0254,0.0254,63528960,0.1183
1789318978.534,69,0.0297,0.0297,63340544,0.1180
1789318979.565,70,0.0307,0.0307,63479808,0.1182
1789318980.605,71,0.0307,0.0307,63512576,0.1183
1789318981.652,72,0.0470,0.0470,63467520,0.1182
1789318982.694,73,0.0335,0.0335,63619072,0.1185
1789318983.724,74,0.0302,0.0302,63668224,0.1186
1789318984.766,75,0.0298,0.0298,63332352,0.1180
1789318985.816,76,0.0468,0.0468,63774720,0.1188
1789318986.857,77,0.0348,0.0348,64315392,0.1198
1789318987.901,78,0.0300,0.0300,63692800,0.1186
1789318988.930,79,0.0308,0.0308,63324160,0.1180
1789318989.959,80,0.0292,0.0292,63123456,0.1176
