epoch,second,cpu_fraction,cpu_cores_used,memory_bytes,memory_fraction
1789318702.199,1,0.4074,0.4074,111427584,0.2076
1789318703.263,2,0.6599,0.6599,115523584,0.2152
1789318704.298,3,0.7786,0.7786,119394304,0.2224
1789318705.360,4,0.6931,0.6931,124497920,0.2319
1789318706.402,5,0.6532,0.6532,121155584,0.2257
1789318707.451,6,0.5867,0.5867,129224704,0.2407
1789318708.491,7,0.6835,0.6835,129425408,0.2411
1789318709.535,8,0.4419,0.4419,130969600,0.2439
1789318710.587,9,0.6684,0.6684,134565888,0.2506
1789318711.623,10,0.7632,0.7632,133226496,0.2482
1789318712.657,11,0.5221,0.5221,138645504,0.2582
1789318713.687,12,0.3248,0.3248,144125952,0.2685
1789318714.723,13,0.2923,0.2923,151003136,0.2813
1789318715.753,14,0.3618,0.3618,156655616,0.2918
1789318716.783,15,0.3524,0.3524,163545088,0.3046
1789318717.811,16,0.3099,0.3099,161206272,0.3003
1789318718.850,17,0.3355,0.3355,157642752,0.2936
1789318719.887,18,0.5225,0.5225,149585920,0.2786
1789318720.917,19,0.3838,0.3838,154021888,0.2869
1789318721.959,20,0.5791,0.5791,147435520,0.2746
1789318722.998,21,0.4662,0.4662,149381120,0.2782
1789318724.024,22,0.4740,0.4740,148729856,0.2770
1789318725.072,23,0.5600,0.5600,150237184,0.2798
1789318726.091,24,0.4576,0.4576,159584256,0.2972
1789318727.114,25,0.3462,0.3462,163401728,0.3044
1789318728.134,26,0.5396,0.5396,153522176,0.2860
1789318729.170,27,0.4506,0.4506,161464320,0.3008
1789318730.194,28,0.4638,0.4638,158662656,0.2955
1789318731.234,29,0.4431,0.4431,156315648,0.2912
1789318732.263,30,0.3940,0.3940,156372992,0.2913
1789318733.302,31,0.3206,0.3206,154898432,0.2885
1789318734.338,32,0.4288,0.4288,159633408,0.2973
1789318735.373,33,0.4554,0.4554,160342016,0.2987
1789318736.399,34,0.3666,0.3666,158801920,0.2958
1789318737.434,35,0.4600,0.4600,165924864,0.3091
1789318738.478,36,0.4921,0.4921,170594304,0.3178
1789318739.502,37,0.3669,0.3669,179154944,0.3337
1789318740.530,38,0.2848,0.2848,178884608,0.3332
1789318741.558,39,0.3202,0.3202,176422912,0.3286
1789318742.589,40,0.1016,0.1016,166182912,0.3095
1789318743.614,41,0.0641,0.0641,148201472,0.2760
1789318744.652,42,0.0741,0.0741,142434304,0.2653
1789318745.687,43,0.0482,0.0482,142487552,0.2654
1789318746.734,44,0.0674,0.0674,142905344,0.2662
1789318747.762,45,0.0783,0.0783,142688256,0.2658
1789318748.804,46,0.0565,0.0565,142774272,0.2659
1789318749.855,47,0.0649,0.0649,142733312,0.2659
1789318750.887,48,0.0710,0.0710,142516224,0.2655
1789318751.910,49,0.0455,0.0455,143093760,0.2665
1789318752.939,50,0.0588,0.0588,142782464,0.2660
1789318753.966,51,0.0589,0.0589,142512128,0.2654
1789318754.997,52,0.0461,0.0461,142778368,0.2659
1789318756.029,53,0.0715,0.0715,143474688,0.2672
1789318757.071,54,0.0520,0.0520,142843904,0.2661
1789318758.102,55,0.0665,0.0665,142823424,0.2660
1789318759.142,56,0.0590,0.0590,142831616,0.2660
1789318760.191,57,0.0545,0.0545,142503936,0.2654
1789318761.226,58,0.0540,0.0540,142385152,0.2652
1789318762.262,59,0.0450,0.0450,142553088,0.2655
1789318763.298,60,0.0588,0.0588,142577664,0.2656
